Reference, Quantity, Value, Footprint, Datasheet
C11 C10 ,2,"10p","Capacitor_SMD:C_0805_2012Metric","~"
C14 ,1,"470u","Capacitor_SMD:CP_Elec_16x17.5","~"
C16 ,1,"47u","Capacitor_SMD:CP_Elec_8x10","~"
C17 C19 C4 ,3,"10u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C18 C20 C21 C22 ,4,"0.47n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C2 C3 C1 C24 C25 C12 C13 C15 C31 C6 C7 C8 C5 C33 C34 ,15,"100n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C23 ,1,"22u","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C26 ,1,"10u","Capacitor_SMD:C_0805_2012Metric","~"
C27 ,1,"10n","Capacitor_SMD:C_0805_2012Metric","~"
C30 ,1,"100u","Capacitor_SMD:CP_Elec_16x17.5","~"
C32 C28 C29 ,3,"50n","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
C9 ,1,"100n","Capacitor_SMD:C_0805_2012Metric","~"
D1 D2 D3 D4 D6 D5 ,6,"SM4007","Diode_SMD:D_MELF","http://cdn-reichelt.de/documents/datenblatt/A400/SMD1N400%23DIO.pdf"
D10 ,1,"BAS40-04","Package_TO_SOT_SMD:SOT-23","http://www.vishay.com/docs/85701/bas40v.pdf"
D11 D12 D13 D8 ,4,"STPS2L60ZFY","Diode_SMD:D_SOD-123","~"
D7 ,1,"BZX384C56","Diode_SMD:D_SOD-323","~"
D9 ,1,"BZT52C3V6","Diode_SMD:D_SOD-123","~"
DS1 ,1,"HY1602E","Display:HY1602E","http://www.icbank.com/data/ICBShop/board/HY1602E.pdf"
H1 H2 ,2,"MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
H3 H4 ,2,"MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","~"
J1 ,1,"IO","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
J10 ,1,"I2C_SCL","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
J11 ,1,"I2C_SDA","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
J12 ,1,"+3V3","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
J13 ,1,"GNDD","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
J14 ,1,"+3V3_S","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
J15 ,1,"GNDD_S","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
J16 ,1,"I2C_SCL_S","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
J17 ,1,"I2C_SDA_S","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
J2 ,1,"Prog","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~"
J3 ,1,"Hall Effect Sensors","Connector_Phoenix_MC:PhoenixContact_MC_1,5_5-G-3.81_1x05_P3.81mm_Horizontal","~"
J4 ,1,"PHASE_A","Power_Connector:180A_screw_terminal_7461383","~"
J5 ,1,"PHASE_B","Power_Connector:180A_screw_terminal_7461383","~"
J6 ,1,"PHASE_C","Power_Connector:180A_screw_terminal_7461383","~"
J7 ,1,"Micro_SD_Card","Connector_Card:microSD_HC_Hirose_DM3D-SF","http://katalog.we-online.de/em/datasheet/693072010801.pdf"
J8 ,1,"+48V","Power_Connector:180A_screw_terminal_7461383","~"
J9 ,1,"GND","Power_Connector:180A_screw_terminal_7461383","~"
L1 ,1,"100u","Inductor_SMD:L_10.4x10.4_H4.8","https://datasheet.lcsc.com/szlcsc/1908011202_Chilisin-Elec-SLF1045T-101M-N_C329818.pdf"
NT1 ,1,"Net-Tie_3","NetTie:NetTie-3_THT_Pad1.0mm","~"
Q1 Q2 Q4 Q6 Q5 Q3 ,6,"DMT10H010LK3","Package_TO_SOT_SMD:TO-252-3_TabPin2","~"
Q7 Q8 ,2,"BCV62","Package_TO_SOT_SMD:SOT-143","https://assets.nexperia.com/documents/data-sheet/BCV62.pdf"
Q9 ,1,"2N7000","Package_TO_SOT_THT:TO-92_Inline","https://www.fairchildsemi.com/datasheets/2N/2N7000.pdf"
R2 R3 R1 R20 R22 R25 R19 R16 R17 R18 ,10,"100k","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~"
